User,Var1,Var2,Var3,Var4,Var5,Var6
User 1,17,18,69,23,fish,3/23/16
User 2,49,72,72,11,fish,5/3/16
User 3,60,39,1,17,fish,4/25/16
User 4,97,81,24,71,cat,3/27/16
User 5,52,76,57,85,cat,4/21/16
User 6,33,64,1,74,cat,4/19/16
User 7,11,6,79,85,cat,4/9/16
User 8,68,55,13,53,cat,4/19/16
User 9,4,30,68,26,fish,5/1/16
User 10,59,39,78,74,cat,4/8/16
User 11,15,77,50,27,fish,4/6/16
User 12,2,7,48,75,cat,4/11/16
User 13,81,45,1,20,fish,4/13/16
User 14,62,10,80,74,cat,4/12/16
User 15,26,52,46,82,cat,4/1/16
User 16,26,81,73,51,cat,5/12/16
User 17,31,11,58,46,dog,3/26/16
User 18,2,77,62,34,dog,4/5/16
User 19,42,40,64,90,cat,3/30/16
User 20,36,49,47,68,cat,5/10/16
User 21,59,16,30,90,cat,5/3/16
User 22,23,33,65,77,cat,4/9/16
User 23,22,45,32,38,dog,5/6/16
User 24,11,82,28,2,fish,4/17/16
User 25,51,67,6,43,dog,4/9/16
User 26,32,84,50,4,fish,5/6/16
User 27,32,21,86,14,fish,4/7/16
User 28,37,65,25,20,fish,4/7/16
User 29,9,98,63,47,dog,4/2/16
User 30,54,69,100,20,fish,4/10/16
User 31,8,57,40,96,cat,5/5/16
User 32,5,31,85,34,dog,3/29/16
User 33,59,20,34,86,cat,3/24/16
User 34,6,32,42,30,dog,4/10/16
User 35,46,62,9,47,dog,3/29/16
User 36,99,24,86,53,cat,5/5/16
User 37,9,29,61,55,cat,3/24/16
User 38,15,54,37,56,cat,4/11/16
User 39,23,75,20,43,dog,5/8/16
User 40,21,76,43,84,cat,5/1/16
User 41,39,53,85,18,fish,5/1/16
User 42,55,91,6,87,cat,4/17/16
User 43,77,95,84,82,cat,4/22/16
User 44,92,31,6,30,dog,4/9/16
User 45,34,27,36,13,fish,4/12/16
User 46,93,55,82,66,cat,4/2/16
User 47,69,31,83,11,fish,4/23/16
User 48,86,92,51,81,cat,4/12/16
User 49,63,56,55,51,cat,5/12/16
User 50,41,57,43,80,cat,4/24/16
User 51,57,43,91,33,dog,4/27/16
User 52,17,63,70,45,dog,3/27/16
User 53,79,4,46,58,cat,3/26/16
User 54,87,63,6,76,cat,4/14/16
User 55,4,42,72,56,cat,4/22/16
User 56,16,94,94,71,cat,5/11/16
User 57,23,75,51,7,fish,4/18/16
User 58,65,58,11,32,dog,3/31/16
User 59,81,71,18,51,cat,4/7/16
User 60,68,94,25,0,fish,4/10/16
